,TYPE,'(',')','{','}',WHILE,IF,ELSE,';','=',PRINT1,SCAN1,ID,REL_OPT,OR,AND,NOT,TRUE,FALSE,'^','*','/','%','+','-',DIGIT,FLOAT,$,startSym',startSym,funcs,func,program,construct,block,stmts,stmt,string,dec,bool,expr,text,number
73, ,s54, , , , , , , , , , ,s21, , , ,s53,s55,s56, , , , , , ,s22,s23, , , , , , , , , , , , ,87,52,47,20
74, ,s54, , , , , , , , , , ,s21, , , ,s53,s55,s56, , , , , , ,s22,s23, , , , , , , , , , , , ,88,52,47,20
75, ,s19, , , , , , , , , , ,s21, , , , , , , , , , , , ,s22,s23, , , , , , , , , , , , , ,89,47,20
76, ,s54, , , , , , , , , , ,s21, , , ,s53,s55,s56, , , , , , ,s22,s23, , , , , , , , , , , , ,90,52,47,20
77, , ,s91, , , , , , , , , , , ,s73,s74, , , , , , , , , , , , , , , , , , , , , , , , , , , 
78, , ,s70, , , , , , , , , , ,s75, , , , , ,s35,s36,s37,s38,s39,s40, , , , , , , , , , , , , , , , , , 
79, , , ,s12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,92, , , , , , , , 
80,r20,r20, ,r20,r20,r20,r20, ,r20, ,r20,r20,r20, , , , , , , , , , , , ,r20,r20,r20, , , , , , , , , , , , , , , 
81,r19,r19, ,r19,r19,r19,r19, ,r19, ,r19,r19,r19, , , , , , , , , , , , ,r19,r19,r19, , , , , , , , , , , , , , , 
82, , , , , , , , ,s93, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
83, , ,r24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
84, , , , , , , , ,s94, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
85,s29,s19, ,s12, ,s9,s10, ,s13, ,s17,s18,s21, , , , , , , , , , , , ,s22,s23, , , , , ,95,5,8,6,11, ,15, ,14,16,20
86,r10,r10, ,r10,r10,r10,r10, ,r10, ,r10,r10,r10, , , , , , , , , , , , ,r10,r10,r10, , , , , , , , , , , , , , , 
87, , ,r28, , , , , , , , , , , ,s73,s74, , , , , , , , , , , , , , , , , , , , , , , , , , , 
88, , ,r29, , , , , , , , , , , ,s73,s74, , , , , , , , , , , , , , , , , , , , , , , , , , , 
89, , ,r27, , , , , , , , , , , ,r27,r27, , , ,s35,s36,s37,s38,s39,s40, , , , , , , , , , , , , , , , , , 
90, , ,s96, , , , , , , , , , , ,s73,s74, , , , , , , , , , , , , , , , , , , , , , , , , , , 
91, , ,r31, , , , , , , , , , , ,r31,r31, , , , , , , , , , , , , , , , , , , , , , , , , , , 
92,r11,r11, ,r11,r11,r11,r11,s97,r11, ,r11,r11,r11, , , , , , , , , , , , ,r11,r11,r11, , , , , , , , , , , , , , , 
93,r21,r21, ,r21,r21,r21,r21, ,r21, ,r21,r21,r21, , , , , , , , , , , , ,r21,r21,r21, , , , , , , , , , , , , , , 
94,r22,r22, ,r22,r22,r22,r22, ,r22, ,r22,r22,r22, , , , , , , , , , , , ,r22,r22,r22, , , , , , , , , , , , , , , 
95, , , ,s12,s98,s9,s10, , , , , , , , , , , , , , , , , , , , , , , , , , ,26,8, , , , , , , , 
96, , ,r30, , , , , , , , , , , ,r30,r30, , , , , , , , , , , , , , , , , , , , , , , , , , , 
97, , , ,s12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,99, , , , , , , , 
98,r5, , , , , , , , , , , , , , , , , , , , , , , , , , ,r5, , , , , , , , , , , , , , , 
99,r12,r12, ,r12,r12,r12,r12, ,r12, ,r12,r12,r12, , , , , , , , , , , , ,r12,r12,r12, , , , , , , , , , , , , , , 
