,TYPE,'(',')','{','}',WHILE,IF,ELSE,error,'\n',';','=',expr;,REL_OPT,OR,AND,NOT,TRUE,FALSE,'^','*','/','%','+','-',ID,DIGIT,FLOAT,$,startSym,funcs,func,program,construct,block,stmts,stmt,dec,bool,expr,text,number
70, , ,s79, , , , , , , , , , , ,s66,s67, , , , , , , , , , , , , , , , , , , , , , , , , , 
71, , ,s64, , , , , , , , , , ,s68, , , , , ,s35,s36,s37,s38,s39,s40, , , , , , , , , , , , , , , , , 
72, , , ,s17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,80, , , , , , , 
73,r19,r19, ,r19,r19,r19,r19, ,r19, ,r19, , , , , , , , , , , , , , ,r19,r19,r19, , , , , , , , , , , , , , 
74, , , ,r9,r9,r9,r9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
75, , ,r23, , , , , , , , , , , ,s66,s67 , , , , , , , , , , , , , , , , , , , , , , , , , , 
76, , ,r24, , , , , , , , , , , ,s66,s67 , , , , , , , , , , , , , , , , , , , , , , , , , , 
77, , ,r22, , , , , , , , , , , ,r22,r22, , , ,s35,s36,s37,s38,s39,s40, , , , , , , , , , , , , , , , , 
78, , ,s81, , , , , , , , , , , ,s66,s67, , , , , , , , , , , , , , , , , , , , , , , , , , 
79, , ,r26, , , , , , , , , , , ,r26,r26, , , , , , , , , , , , , , , , , , , , , , , , , , 
80, , , ,r10,r10,r10,r10,s82, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
81, , ,r25, , , , , , , , , , , ,r25,r25, , , , , , , , , , , , , , , , , , , , , , , , , , 
82, , , ,s17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,83, , , , , , , 
83, , , ,r11,r11,r11,r11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
